题目id	Latex
2888	If r and s are positive integers, is $$\frac{r}{s}$$ an integer?[br/](1)Every factor of s is also a factor of r.[br/](2)Every prime factor of s is also a prime factor of r.
2889	If $$z^n=1$$, what is the value of z?[br/](1)n is a nonzero integer.[br/](2)$$z  > 0$$
2890	$${S}=\frac{\frac{2}{n}}{\frac{1}{x}+\frac{2}{3x}}$$[br/]In the expression above, if $${x}{n}!={0}$$, what is the value of S?[br/](1)x = 2n[br/](2)$$n =\frac{1}{2}$$
2891	If x is an integer, is $$x \mid x \mid < {2}^{X}$$ ?[br/](1)$$x < 0$$[br/](2)$$x = -10$$
2892	If n is a positive integer, is the value of b - a at least twice the value of $${3}^{n}-{2}^{n}$$ ?[br/](1)$$a ={2}^{n+1}$$ and $$b={3}^{n+1}$$[br/](2)$$n = 3$$
2894	Is $${5}^{k}$$ less than 1,000 ?[br/](1)$${5}^{k+1} >3,000$$[br/](2)$${5}^{k-1}={5}^{k}-500$$
2897	If mand nare positive integers, is $$\sqrt{n-m}$$ an integer?[br/](1)$$n  > m + 15$$[br/](2)$$n = m(m + 1)$$
2898	If $$x < 0$$, is $$y  > 0$$ ?[br/](1)$$\frac{x}{y}<{0}$$[br/](2)$$y-x >0$$
2899	[img]DS11136.jpg[/img][br/]What is the circumference of the circle above with center 0 ?[br/](1)The perimeter of $$\Delta OXZ$$ is $$20+10\sqrt 2$$[br/](2)The length of arc $$XYZ$$ is $$5\pi$$.
2900	What is the value of $${a}^{4}-{b}^{4}$$?[br/](1)$${a}^{2}-{b}^{2}= 16$$[br/](2)$$a+b=8$$
2902	If $${x}!=-{y}$$, is$$\frac{x-y}{x+y} >1$$[br/](1)$$x >0$$[br/](2)$$y<0$$
2905	If x is an integer, is $${9}^{x}+{9}^{-x}=b$$ ?[br/](1)$${3}^{x}+{3}^{-x}=\sqrt{b+2}$$[br/](2)$$x  > 0$$
2906	If $$m  > 0$$ and $$n  > 0$$, is $$\frac{m+x}{n+x} >\frac m n$$[br/](1)$${m}<{n}$$[br/](2)$$x >0$$
2907	If n is a positive integer, is$${(\frac{1}{10})}^{n}<0.01$$[br/](1)$$n >2$$[br/](2)$$(\frac{1}{10})^{n-1}<0.1$$
2908	Is $$\frac{1}{p} >\frac{r}{r^2+2}$$?[br/](1)P=r[br/](2)$$r >0$$
2909	Is n an integer?[br/](1)$${n}^{2}$$ is an integer.[br/](2)$$\sqrt{n}$$ is an integer.
2910	If n is a positive integer, is $$n^3 - n$$ divisible by 4 ?[br/](1)$$n = 2k + 1$$, where k is an integer.[br/](2)$$n^2 + n$$ is divisible by 6.
2912	If x, y, and z are positive integers, is x - y odd?[br/](1)$$x = z^2$$[br/](2)$$y = (z-1)^2$$
2915	[img]DS11152.jpg[/img][br/]If arc PQR above is a semicircle, what is the length of diameter $$\overline{PR}$$ ?[br/](1)a = 4[br/](2)b = 1
2917	Is x negative?[br/](1)$${x}^{3}({l}-{x}^{2})<{0}$$[br/](2)$${x}^{2}-{l}<{0}$$
2918	Marcia's bucket can hold a maximum of how many liters of water?[br/](1)The bucket currently contains 9 liters of water.[br/](2)If 3 liters of water are added to the bucket when it is half full of water, the amount of water in thebucket will increase by $$\frac1 3$$
2922	If Pat saved $600 of his earnings last month, how much did Pat earn last month?[br/](1)Pat spent $$\frac{1}{2}$$ of his earnings last month for living expenses and saved $$\frac{1}{3}$$ of the remainder.[br/](2)Of his earnings last month, Pat paid twice as much in taxes as he saved.
2924	If Car X followed Car Y across a certain bridge that is $$\frac{1}{2}$$ mile long, how many seconds did it take Car X to travel across the bridge?[br/](1)Car X drove onto the bridge exactly 3 seconds after Car Y drove onto the bridge and drove off the bridge exactly 2 seconds after Car Y drove off the bridge.[br/](2)Car Y traveled across the bridge at a constant speed of 30 miles per hour.
2930	If n is an integer, is n even?[br/](1)$$n^2 - 1$$ is an odd integer.[br/](2)3n + 4 is an even integer.
2940	If $${p}_{1}$$ and $${p}_{2}$$ are the populations and $${r}_{1}$$ and $${r}_{2}$$ are the numbers of representatives of District 1 and District 2, respectively, the ratio of the population to the number of representatives is greater for which of the two districts?[br/](1)$${P}_{1} >{P}_{2}$$[br/](2)$${r}_{2} >{r}_{1}$$
2943	Robots X, Y, and Z each assemble components at their respective constant rates. If $${r}_{x}$$ is the ratio of Robot X's constant rate to Robot Z's constant rate and $${r}_{y}$$ is the ratio of Robot Y's constant rate to Robot Z's constant rate, is Robot Z's constant rate the greatest of the three?[br/](1)$${r}_{x}<{r}_{y}$$[br/](2)$${r}_{y}< 1$$
2944	If r is a constant and $${a}_{n}$$ = rn for all positive integers n, for how many values of n is $${a}_{n} < 100$$ ?[br/](1)$${a}_{50} = 500$$[br/](2)$${a}_{100}+{a}_{105} = 2,050$$
2945	If r is represented by the decimal 0.t5, what is the digit t?[br/](1)$$r<\frac{1}{3}$$[br/](2)$$r<\frac{1}{10}$$
2954	If a total of 84 students are enrolled in two sections of a calculus course, how many of the 84 students are female?[br/](1)$$\frac{2}{3}$$ of tne students in Section 1 are female.[br/](2)$$\frac{1}{2}$$ of tne students in Section 2 are male.
2966	Leo can buy a certain computer for $${P}_{1}$$ dollars in State A, where the sales tax is $${t}_{1}$$ percent, or he can buy the same computer for $${p}_{2}$$ dollars in State B, where the sales tax is $${t}_{2}$$ percent. Is the total cost of the computer greater in State A than in State B ?[br/](1)$${t}_{1} >{t}_{2}$$[br/](2)$${p}_{1}{t}_{1} >{p}_{2}{t}_{2}$$
2967	If $$r  > 0$$ and $$s  > 0$$, is$$\frac{r}{s}<\frac{s}{r}$$ ?[br/](1)$$\frac{r}{3s}=\frac{1}{4}$$[br/](2)$$s = r + 4$$
2971	Last year, if Arturo spent a total of $12,000 on his mortgage payments, real estate taxes, and home insurance, how much did he spend on his real estate taxes?[br/](1)Last year, the total amount that Arturo spent on his real estate taxes and home insurance was $$33\frac{1}{3}$$ percent of the amount that he spent on his mortgage payments.[br/](2)Last year, the amount that Arturo spent on his real estate taxes was 20 percent of the total amount he spent on his mortgage payments and home insurance.
2982	If x and y are integers, is xy even?[br/](1)$$x = y+1$$[br/](2)$$\frac{x}{y}$$is an even integer.
3005	If n is a positive integer and $$k = {5.1}*{10}^{n}$$, what is the value of k ?[br/](1)$$6,000 < k < 500,000$$[br/](2)$${k}^{2}={2.601}*{10}^{9}$$
3009	If n and k are positive integers, is $$\sqrt{n+k} >2\sqrt{n}$$?[br/](1)$$k  > 3n$$[br/](2)$$n + k > 3n$$
3011	What is the value of $$\frac{(2t+t-x)}{(t-x)}$$[br/](1)$$\frac{2t}{t-x}=3$$[br/](2)t-x=5
3013	For which of the following values of n is $$\frac{(100+n)}{n}$$ NOT an integer?
3018	[img]PS1107.jpg[/img][br/]On the graph above, when $$x=\frac{1}{2}$$, y=2; and when x = 1, y = 1. The graph is symmetric with respect to the vertical line at x = 2. According to the graph, when x = 3, y =
3019	When $$\frac{1}{10}$$ percent of 5,000 is subtracted from $$\frac{1}{10}$$ of 5,000, the difference is
3020	Which of the following is the value of $$\sqrt{\sqrt[3]{0.000064}}$$?
3022	On Monday, a person mailed 8 packages weighing an average (arithmetic mean) of $$12\frac{3}{8}$$ pounds, and on Tuesday, 4 packages weighing an average of $$15\frac{1}{4}$$ pounds. What was the average weight, in pounds, of all the packages the person mailed on both days
3025	which of the following CANNOT be a value of $$\frac{1}{x-1}$$
3027	What is the combined area, in square inches, of the front and back of a rectangular sheet of paper measuring $$8\frac{1}{2}$$ inches by 11 inches?
3029	The ratio 2 to $$\frac{1}{3}$$ is equal to the ratio
3037	If the quotient $$\frac{a}{b}$$ is positive,which of the following must be true?
3040	$$\sqrt{(16)(20)+(8)(32)}$$
3046	If $$\frac{1.5}{0.2+x}=5$$,then x=
3049	If 4 is one solution of the equation $${x}^{2} + 3x + k = 10$$, where k is a constant, what is the other solution?
3051	$$\frac{({29}^{2}+{29})}{29}=$$
3054	$$\frac{(0.3)^5}{(0.3)^3}$$
3060	$$(\sqrt{7}+\sqrt{7})^{2}$$
3064	Of the following, which is the closest approximation of $$\frac{0.52\times0.49}{1.998}$$
3066	if $$y= 4 + (x-3)^2$$, then y is lowest when x=
3068	Fermat primes are prime numbers that can be written in the form $${2}^{k}+{1}$$, where k is an integer and a power of 2. Which of the following is NOT a Fermat prime
3069	If $${x}^{2}={2}{y}^{3}$$ and 2y = 4, what is the value of $${x}^{2}+{y}^{2}$$?
3080	If$${y}(\frac{3x-5}{2})={y}$$ and $$y\neq0$$,then x=
3083	At least $$\frac{2}{3}$$ of the 40 members of a committee must vote in favor of a resolution for it to pass. What is the greatest number of members who could vote against the resolution and still have it pass?
3087	Which of the following ratios is most nearly equal to the ratio $$1 +\sqrt{5}$$ to 2?
3088	$$\frac7{\frac15}+\frac5{\frac17}=$$
3094	What is the decimal equivalent of $$(\frac{1}{5})^{5}$$ ?
3095	
3107	$$\frac {1}{2}+[(\frac{2}{3}\times\frac{3}{8})\div{4}]-\frac{9}{16}$$
3109	If x(2x+1)=0 and $$(x+\frac1 2)(2x-3)=0$$,then x =
3113	If T = $$\frac{5}{9}$$(K - 32), and if T = 290, then K =
3118	What is the smallest integer n for which $${25}^{n} >{5}^{12}$$ ?
3119	If x and y are different prime numbers, each greater than 2, which of the following must betrue?[br/]I $${x}+{y} \neq{91}  $$[br/]II x - y is an even integer.[br/]III $$\frac{x}{y}$$is not an integer.
3122	if $$s >0$$ and $$\sqrt{\frac{r}8}=s$$,what is r in terms of s ?
3131	David has d books, which is 3 times as many as Jeff and $$\frac{1}{2}$$ as many as Paula. How many books do the three of them have altogether, in terms of d
3135	According to a car dealer's sales report, $$\frac{1}{3}$$ of the cars sold during a certain period were sedans and $$\frac{1}{5}$$ of the other cars sold were station wagons. If N station wagons were sold during that period, how many sedans, in terms of N, were sold?
3136	if $$\frac{p}{q}$$<1, and p and q are positive integers, which of the following must be greater than 1 ?
3139	If money is invested at r percent interest, compounded annually, the amount of the investment will double in approximately $$\frac{70}{r}$$ years. If Pat's parents invested $5,000 in a long-term bond that pays 8 percent interest, compounded annually, what will be the approximate total amount of the investment 18 years later, when Pat is ready for college?
3144	A certain country had a total annual expenditure of $$$1.2 \times {10}^{12}$$ last year. If the population of the country was 240 million last year, what was the per capita expenditure?
3147	If the operation * is defined by $$x*y=\sqrt{xy}$$ for all positive numbers x and y, then (5 * 45) * 60 =
3148	A bar over a sequence of digits in a decimal indicates that the sequence repeats indefinitely.What is the value of $$({10}^{4}-{10}^{2})(0.00\overline{12})$$?
3149	At a loading dock, each worker on the night crew loaded $$\frac{3}{4}$$ as many boxes as each worker on the day crew. If the night crew has $$\frac{4}{5}$$ as many workers as the day crew, what fraction of all the boxes loaded by the two crews did the day crew load?
3153	Of the 3,600 employees of Company X, $$\frac{1}{3}$$ are clerical. If the clerical staff were to be reduced by $$\frac{1}{3}$$, what percent of the total number of the remaining employees would then be clerical?
3154	$$\frac{3.003}{2.002}$$
3155	if $$\frac{(4-x)}{(2+x)}= x$$, what is the value of $${x}^{2} + 3x - 4$$?
3161	if x=-1,then $$\frac{x^4-x^3+x^2}{x-1}$$
3165	An empty pool being filled with water at a constant rate takes 8 hours to fill to $$\frac{3}{5}$$ of its capacity. How much more time will it take to finish filling the pool?
3172	The positive integer n is divisible by 25. If $$\sqrt{n}$$ is greater than 25, which of the following could be the value of $$\frac{n}{25}$$
3173	$$\frac {1}{1+(\frac{1}{2+\frac1 3})}$$
3178	if 1+$$\frac{1}{x}=2-\frac{2}{x}$$,then x=
3182	If $$({x}-{1})^{2}$$ = 400, which of the following could be the value of x - 5 ?
3183	Which of the following describes all values of x for which $${1}-{x}^{2}\geq{0}$$?
3184	The probability is $$\frac{1}{2}$$ that a certain coin will turn up heads on any given toss. If the coin is to be tossed three times, what is the probability that on at least one of the tosses the coin will turn up tails?
3185	Of the final grades received by the students in acertain math course, $$\frac{1}{5}$$ are A's, $$\frac{1}{4}$$ are B's,$$\frac{1}{2}$$ are C's,and the remaining 10 grades are D's. What is the number of students in the course?
3186	As x increases from 165 to 166, which of the following must increase?[br/]I 2x-5[br/]II $$1-\frac{1}{x}$$[br/]III $$\frac{1}{x^2-x}$$
3191	In a nationwide poll, N people were interviewed.If $$\frac{1}{4}$$ of them answered "yes" to question 1, and of those, $$\frac{1}{3}$$ answered "yes" to question 2, which ofthe following expressions represents the numberof people interviewed who did not answer "yes" to both questions?
3194	If $$\frac{1}{2}$$ of the air in a tank is removed with each stroke of a vacuum pump, what fraction of the original amount of air has been removed after 4 strokes?
3199	Drum X is $$\frac{1}{2}$$ full of oil and Drum Y, which has twice the capacity of Drum X, is $$\frac{2}{3}$$ full of oil. If all of the oil in Drum X is poured into Drum Y, then Drum Y will be filled to what fraction of its capacity?
3200	if x  > 0,$$\frac{x}{50}+\frac{x}{25}$$ is what percent of x ?
3201	If the operation ? is defined for all a and b by the equation a?b=$${a}^{2}\frac{b}{3}$$,then2?(3?-1)
3203	($$\sqrt{2}+{1})(\sqrt{2}-{1})(\sqrt{3}+{1})(\sqrt{3}-{1})=$$
3205	What is the units digit of $$({13})^{4}({17})^{2}({29})^{3}$$?
3209	if $$\frac{1}{2}+\frac{1}{3}+\frac{1}{4}=\frac{13}{x}$$,which of the following must be an integer?[br/]I. $$\frac{x}{8}[br/]$$II. $$\frac{x}{12}$$[br/]III. $$\frac{x}{24}$$
3213	In the formula $$V =\frac{1}{(2r)^3}$$,if r is halved, then V is multiplied by
3230	What is the 25th digit to the right of the decimal point in the decimal form of $$\frac{6}{11}$$
3232	$$1+{{1}\over{1}+({{1}\over{1}+\frac{1}{3}})}$$
3236	$${(\frac{x+1}{x-1})}^{2}$$If $${x}\neq{0}$$ and $${x}\neq{1}$$, and if x is replaced by $$\frac{1}{x}$$ everywhere in the expression above, then the resulting expression is equivalent to
3242	Xavier, Yvonne, and Zelda each try independently to solve a problem. If their individual probabilities for success are $$\frac{1}{4}$$, $$\frac{1}{2}$$ and $$\frac{5}{8}$$ respectively, what is the probability that Xavier and Yvonne, but not Zelda, will solve theproblem?
3243	if $$\frac{1}{x}-\frac{1}{x+1}=\frac{1}{x+4}$$ then x could be
3244	$$(\frac{1}{2})^{-3}(\frac{1}{4})^{-2}(\frac{1}{16})^{-1}=$$
3246	if $$\frac{2}{{1}+\frac{2}{y}}=1$$,then y=
3247	If a, b, and c are consecutive positive integers and $$a < b < c$$, which of the following must be true?[br/]I c-a = 2[br/]II abc is an even integer.[br/]III $$\frac{a+b+c}{3}$$is an integer.
3252	If the integer n has exactly three positive divisors including, 1 and n, how many positive divisors does $${n}^{2}$$ have
3255	if $$\frac{(0.0015\times10^m)}{(0.03\times10^k)}={5}\times{10}^{7}$$,then m-k=
3258	P, r, s, t, u[br/]An arithmetic sequence is a sequence in which each term after the first is equal to the sum of the preceding term and a constant.If the list of letters shown above is an arithmetic sequence, which of the following must also be an arithmetic sequence?[br/]I 2P, 2r, 2s, 2t, 2u[br/]II P-3, r-3, s-3, t-3, u-3[br/]III $${P}^{2}$$, $${r}^{2}$$, $${s}^{2}$$, $${t}^{2}$$, $${u}^{2}$$
3259	Right triangle PQR is to be constructed in the xy-plane so that the right angle is at P and $$\overline{PR}$$ is parallel to the x-axis. The x- and y-coordinates of P, Q, and R are to be integers that satisfy the inequalities $$-4 \le x \le 5$$ and $$6 \le y \le 16$$. How many different triangles with these properties could be constructed?
3260	If n is a positive integer less than 200 and$$\frac{14n}{60}$$is an integer, then n has how many different positive prime factors?
3267	$$0.1+{0.1}^{2}+{0.1}^{3}=$$
3272	If n is a prime number greater than 3, what is the remainder when $${n}^{2}$$ is divided by 12 ?
3273	$$\frac{1}{({1}+\frac{1}{3})}-\frac{1}{(1+\frac{1}{2})}=$$
3275	The average distance between the Sun and a certain planet is approximately 2.3 x $${10}^{14}$$ inches. Which of the following is closest to the average distance between the Sun and the planet, in kilometers? (1 kilometer is approximately 3.9 x $${10}^{4}$$ inches.)
3280	$$\frac{1}{(0.75-1)}=$$
3286	The sum $$\frac{7}{8}+\frac{1}{9}$$ is between
3288	$${1}-(\frac{1}{2}-\frac{2}{3})=$$
3289	$$\frac{0.3^5}{0.3^3}=$$
3290	[img]PS1248.jpg[/img][br/]In the figure above, if $$\overline{AB}||\overline{CE}$$, CE = DE, and y = 45, then x =
3293	$$\sqrt{80}+\sqrt{125}=$$
3295	Of the following, which is the closest approximation of $${50.2}*\frac{0.49}{199.8}$$
3304	At a certain instant in time, the number of cars, N, traveling on a portion of a certain highway can be estimated by the formula[br/]N=$$20L\frac{d}{(600+s^2)}$$where L is the number of lanes in the same direction, d is the length of the portion of the highway, in feet, and s is the average speed of the cars, in miles per hour. Based on the formula, what is the estimated number of cars traveling on a $$\frac{1}{2}$$ mile portion of the highway if the highway has 2 lanes in the same direction and the average speed of the cars is 40 miles per hour? (5,280 feet = 1 mile)
3307	If r = 0.345, s = $$({0.345})^{2}$$, and t =$$\sqrt{0.345}$$, which of the following is the correct ordering of r, s, and t ?
3310	$$\frac{(0.0036)(2.8)}{(0.04)(0.1)(0.003)}=$$
3315	If s is the product of the integers from 100 to 200, inclusive, and t is the product of the integers from 100 to 201, inclusive, what is $$\frac{1}{s}+\frac{1}{t}$$ in terms of t?
3322	If x is the product of the positive integers from 1 to 8, inclusive, and if i, k, m, and p are positive integers such that x =$${2}^{i}{3}^{k}{5}^{m}{7}^{p}$$, then i + k + m + p =
3323	if $${t}=\frac{1}{(2^9*5^3)}$$ is expressed as a terminating decimal,how many zeros will t have between the decimal point and the first nonzero digit to the right of the decimal point?
3325	If n is positive, which of the following is equal to $$\frac{1}{\sqrt{n+1}-\sqrt{n})}$$
3329	In a certain sequence, the term $${x}_{n}$$, is given by the formula $${x}_{n}={2}{x}_{n-1}-\frac{1}{2}({x}_{n-2})$$ for all $${n}\geq{2}$$.if $${x}_{0}=3$$ and $${x}_{1}=2$$, what is the value of $${x}_{3}$$
3330	If x, y, and k are positive numbers such that $$(\frac{x}{x+y})({10})+(\frac{y}{x+y})({20})=k$$ and if $$x<{y}$$ which of the following could be the value of k?
3334	if $${m}^{-1}=-\frac{1}{3}$$,then $${m}^{-2}$$ is equal to
3335	What is the difference between the sixth and the fifth terms of the sequence 2,4, 7,... whose nth term is n + $${2}^{n-1}$$?
3338	If $$5-\frac{6}{x}=x$$ then x has how many possible values?
3339	The value of $$\frac{({2}^{-14}+{2}^{-15}+{2}^{-16}+{2}^{-17})}{5}$$ is how many times the value of;$${2}^{-17}$$;?
3448	Is the sum of $${p}^{2}$$ and $${q}^{2}$$ greater than 1?[br/](1) p is greater than $$\frac{1}{2}$$.[br/](2) q is greater than $$\frac{1}{2}$$.
3454	If (y+3)(y-1) - (y-2)(y-1) = r(y-1), what is the value of y?[br/](1) $${r}^{2}={25}$$(2) r = 5
3455	If x and k are integers and $$({12}^{x})({4}^{2x+1})=({2}^{k})({3}^{2})$$, what is the value of k?
3463	If n and k are positive integers, is $$\frac{n}{k}$$ an even integer?[br/](1) n is divisible by 8.[br/](2) k is divisible by 4.
3465	Which of the following is equal to $$[\frac{1}{\sqrt3-\sqrt{2}}]^{2}$$?
3469	[img]20120325221005723_3469.jpg[/img][br/]In the triangle above, is $$x  >90$$?[br/](1) $${a}^{2}+{b}^{2}<{15}$$[br/](2)$$c  > 4$$
3475	The function f is defined for each positive three-digit integer n by $${f}({n})={2}^{x}{3}^{y}{5}^{z}$$, where x, y and z are the hundreds, tens, and units digits of n, respectively. If m and v are three-digit positive integers such that f(m) = 9f(v), then m-v = ?
3476	If f is the function defined for all k by f(k) = $$\frac{k^5}{16}$$, what is f(2k) in terms of f(k)?
3478	Working alone at its constant rate, machine K took 3 hours to produce $$\frac{1}{4}$$ of the units produced last Friday. Then machine M started working and the two machines, working simultaneously at their respective constant rates, took 6 hours to produce the rest of the units produced last Friday. How many hours would it have taken machine M, working alone at its constant rate, to produce all of the units produced last Friday?
3485	If $$\frac{k}{60125}={0.001}$$, what is the units digit of k?
3486	What is the value of the ratio of x to $${y}^{2}$$?(1) The ratio of $${x}^{2}$$ to y is $$\frac{5}{3}$$.(2) The ratio of x to 1 is $$\frac{5}{3}$$.
3491	$$\frac{0.8^{-5}}{0.4^{-4}}=$$
3494	Is $$x<{y}$$?[br/](1) The ratio of x to y is $$\frac{7}{9}$$.[br/](2) $$xy >0$$
3501	P, r, s, t, u[br/]An arithmetic sequence is a sequence in which each term after the first is equal to the sum of the preceding term and a constant. If the list of letters shown above is an arithmetic sequence, which of the following must also be an arithmetic sequence?[br/]I 2P, 2r, 2s, 2t, 2u[br/]II P-3, r-3, s-3, t-3, u-3[br/]III $${P}^{2}$$, $${r}^{2}$$, $${s}^{2}$$, $${t}^{2}$$, $${u}^{2}$$
3502	If $${x}^{2}+{y}^{2}={1}$$, is x + y = 1?[br/] (1) xy = 0[br/] (2) y = 0
3505	If x(x - 5)(x + 2) = 0, is x negative?[br/](1) $${x}^{2}-{7}{x}\neq{0}$$[br/](2) $${x}^{2}-{2}{x}-{15}\neq{0}$$
3511	If n is an integer and $${x}^{n}-{x}^{-n}={0}$$, what is the value of x ?[br/](1) x is an integer.[br/](2) $$n \neq 0$$
3512	In the sequence of nonzero numbers $${t}_{1}$$, $${t}_{2}$$, $${t}_{3}$$, …, $${t}_{n}$$, …, $${t}_{n}+{1}=\frac{{t}_{n}}{2}$$ for all positive integers n. What is the value of $${t}_{5}$$?[br/](1) $${t}_{3}=\frac{1}{4}$$[br/](2) $${t}_{1}-{t}_{5}=\frac{15}{16}$$
3518	The value of $$-{3}+\sqrt{9-k}$$ is positive for which of the following values of k ?[br/] I. -1[br/] II. 0[br/] III. 1
3520	There were 2 apples and 5 bananas in a basket. After additional apples and bananas were placed in the basket, the ratio of the number of apples to the number of bananas was $$\frac{1}{2}$$. How many apples were added?[br/] (1) The number of apples added was $$\frac{2}{3}$$ the number of bananas added.[br/] (2) A total of 5 apples and bananas were added.
3522	[img]20120325233713535_3522.jpg[/img][br/] If $${l}_{1} \|  {l}_{2}$$ in the figure above, is x = y?[br/] (1) $$p\|r$$ and $$r\|t$$[br/] (2) $$q\|s$$
3530	For any positive integer x, the 2-height of x is defined to be the greatest nonnegative integer n such that $${2}^{n}$$ is a factor of x. If k and m are positive integers, is the 2-height of k greater than the 2-height of m ?[br/] (1) $$k>{m}$$[br/] (2)$$\frac{K}{M}$$ is an even integer.
3533	If $${4x}<{x}<{x^3}<{x^2}$$, which of the following is a possible value of x ?
3536	What was the range of the selling prices of the 30 wallets sold by a certain store yesterday?[br/](1) $$\frac{1}{3}$$ of the wallets had a selling price of $24 each.[br/](2) The lowest selling price of the wallets was $$\frac{1}{3}$$ the highest selling price of the wallets.
3541	If p, r, s, and t are nonzero integers, is $$\frac{p}{r}=\frac{s}{t}$$?[br/] (1) s = 3p and t = 3r.[br/] (2) 3p = 2r and 3s = 2t.
3542	If $${a}_{1}={1}$$ and $${a}({n}+{1})={1}+\frac{1}{a^n}$$ for all $$n \geq 1$$, what is the value of $${a}_{5}$$ ?
3546	Which of the following is closest in value to $${9}^{9}-{9}^{2}$$ ?
3548	Of the following values of n, the value of $$(-\frac{1}{5})^{-n}$$ will be greatest for n =
3549	For all numbers x, the function f is defined by f(x) = 3x + 1 and the function g is defined by g(x) = $$\frac{x-1}{3}$$ . If c is a positive number, what is the value of g(c)?[br/](1) f(c) = 13[br/](2) f(1) = c
3552	What is the value of $$({2}{x}-{5})^{3}$$ ?[br/] (1) $$({2}{x})^{3}={216}$$[br/] (2) $$({2}{x}+{3})^{2}={81}$$
3556	If g(x) = x + 4 for all x and $$f(x)=\frac{2x^2-5}{x}$$ for all nonzero x, then f(x) = g(x) for which of the following values of x ?
3557	Is x >5 ?[br/] (1) $${x}^{2} >{25}$$[br/] (2) 2x+7 >0
3558	Pumping alone at their respective constant rates, one inlet pipe fills an empty tank to $$\frac{1}{2}$$ of capacity in 3 hours and a second inlet pipe fills the same empty tank to $$\frac{2}{3}$$ of capacity in 6 hours. How many hours will it take both pipes, pumping simultaneously at their respective constant rates, to fill the empty tank to capacity?
3563	If b, c, and d are constants and $${x}^{2}+{b}{x}+{c}=({x}+{d})^{2}$$ for all values of x, what is the value of c?[br/] (1) d = 3[br/] (2) b = 6
3564	If a, b, k, and m are positive integers, is $${a}^{k}$$ a factor of $${b}^{m}$$?[br/] (1) a is a factor of b.[br/] (2) $$k \leq m$$
3575	If $${2}^{x}+{2}^{x}+{2}^{x}+{2}^{x}={2}^{n}$$, what is x in terms of n?
3581	If $$x\neq$$ 0, then $$({x}+\frac{1}{x})^{2}-({x}-\frac{1}{x})^{2}=$$
3586	If $$({2}-\sqrt{5}){x}=-{1}$$, then x =
3593	The operation $$\Theta$$ is defined by $${x}\Theta{y}=\frac{1}{x}+\frac{1}{y}$$ for all nonzero numbers x and y. If z is a number greater than 1, which of the following must be true?[br/] I. $$z\Theta(-z) = 0$$[br/]II.$${z}\Theta{\frac{z}{z-1}}={1}$$[br/]III. $$(\frac{2}{z})\Theta(\frac{2}{z})={z}$$
3596	If $${x}^{3}{y}^{4}={5000}$$, is y = 5?[br/] (1) y is a positive integer.[br/] (2) x is an integer.
3597	How many different factors does the integer n have?[br/] (1) $${n}={a}^{4}{b}^{3}$$, where a and b are different positive prime numbers.[br/] (2) The only positive prime numbers that are factors of n are 5 and 7.
3602	How many years did Dr. Jones live?[br/](1) If Dr. Jones had become a doctor 10 years earlier than he did, he would have been a doctor for exactly $$\frac{2}{3}$$ of his life.[br/](2) If Dr. Jones had become a doctor 10 years later than he did, he would have been a doctor for exactly $$\frac{1}{3}$$ of his life.
3603	If f is the function defined by $${f}({x})={x}^{2}({1}-{x})^{2}$$ for all x, then f(1-x) =
3605	If the average (arithmetic mean) of 5 different numbers is 12, what is the median of the 5 numbers?[br/](1) The median of the 5 numbers is equal to $$\frac{1}{3}$$ of the sum of the 4 numbers other than the median.[br/](2) The sum of the 4 numbers other than the median is equal to 45.
3607	If $${9}{x}={27}^{y}$$, which of the following expresses x in terms of y?
3609	An object thrown directly upward is at a height of h feet after t seconds, where $${h}=-{16}({t}-{3})^{2}+{150}$$. At what height, in feet, is the object 2 seconds after it reaches its maximum height?
3610	If $${x}^{2}-{y}={w}$$, what is the value of x?[br/](1) w + y = 4[br/](2) y = 1
3615	Which of the following is equal to $${5}^{17}\times{4}^{9}$$?
3617	If x and y are positive integers and y =$${\sqrt{90-x}}$$ , what is the value of y?[br/](1) x <8[br/](2) y  > 1
3620	If $$xy \neq 0$$, what is the value of $${{1}\over{x}}+{{1}\over{y}}$$ ?[br/](1) $${{1}\over{(x+y)}}=-1$$[br/](2) $$xy=6(x+y)$$
3627	If $$x\neq y$$, is x+y=xy?[br/](1) (1-x)(1-y)=1[br/](2) $${x}^{2}-{y}^{2}={x}^{2}{y}-{x}{y}^{2}$$
3629	What is the value of the product xy?[br/](1) $$\frac{x}{y}=\frac{1}{5}$$[br/](2) x+y=60
3632	Of the mutual funds on a select list,  $$\frac{1}{3}$$ have 5-star ratings, and $$\frac{2}{5}$$ of the remaining funds have 4-star ratings. If the remaining 300 funds on the list have 3-star ratings, how many funds are on the list?
3636	Is $${y}^{2}={0}$$?[br/](1) 3y=0[br/](2) $${y}^{3}={0}$$
3639	If $$\sqrt{x}$$ is an integer, what is the value of $$\sqrt{x}$$?[br/](1) 11<{x}<17[br/](2) $${2}<\sqrt{x}<{5}$$
3640	If $${P}({r})={8}\frac{r}{1-r}$$, for what value of r does $${P}({r})=\frac{1}{2}{P}(3)$$?
3645	which of the following is a value of X for which $${X}^{11}-{X}^{3} >{0}$$
3648	A farmer produced 750 bushels of a certain crop at a cost of $20 per bushel. If the farmer sold $$\frac{2}{3}$$ of the bushels for double their production cost and sold the remaining bushels at 25 percent above their production cost, what was the farmer's gross profit on the sale of the crop?
