题目ID 	选项ID	待校验公式
3473	12025	$$–\frac{7}{3}$$
3473	12026	$$–\frac{3}{7}$$
		
		
		
		
3473	12027	$$\frac{3}{7}$$
3476	12010	$$\frac{1}{8}{f}({k})$$
3476	12011	$$\frac{5}{8}{f}({k})$$
3479	11995	$$\frac{2}{3}$$
3479	11996	$$\frac{1}{3}$$
3479	11997	$$\frac{2}{9}$$
3479	11998	$$\frac{1}{12}$$
3479	11999	$$\frac{1}{24}$$
3491	11950	$$\frac{3}{32}$$
3491	11951	$$\frac{5}{64}$$
3491	11952	$$\frac{1}{2}$$
3507	11878	$${8}\sqrt{3}$$
3507	11879	$${12}\sqrt{3}$$
3526	11800	$$\sqrt{0.81}$$
3526	11801	$$\sqrt{0.9}$$
3526	11802	$$({0.9})^{2}$$
3526	11804	$${1}-\sqrt{0.01}$$
3529	11785	$$\frac{5,280mt}{12p}$$
3529	11786	$$\frac{5,280pt}{13m}$$
3529	11787	$$\frac{{5,280}\pm{t}}{12}$$
3529	11788	$$(5,280)\frac{12m}{pt}$$
3529	11789	$$(5,280)\frac{12p}{mt}$$
3533	11766	$$-\frac{2}{3}$$
3533	11768	$$-\frac{1}{2}$$
3540	11735	$$\frac{1}{6}$$
3540	11736	$$\frac{2}{9}$$
3540	11737	$$\frac{6}{11}$$
3540	11738	$$\frac{9}{16}$$
3540	11739	$$\frac{3}{4}$$
3542	11725	$$\frac{3}{8}$$
3542	11726	$$\frac{5}{8}$$
3542	11727	$$\frac{8}{5}$$
3542	11728	$$\frac{5}{3}$$
3542	11729	$$\frac{8}{3}$$
3544	11715	$$\frac{m+4}{m(m-4)}$$
3544	11716	$$\frac{2m-4}{m(m-4)}$$
3544	11717	$$\frac{4m-4}{m(m-4)}$$
3544	11718	$$\frac{4m-8}{m(m-4)}$$
3544	11719	$$\frac{4m-12}{m(m-4)}$$
3546	11705	$${9}^{9}$$
3546	11706	$${9}^{8}$$
3546	11707	$${9}^{7}$$
3546	11708	$${9}^{6}$$
3546	11709	$${9}^{5}$$
3575	11565	$$\frac{n}{4}$$
3576	11560	$$\sqrt{17}$$
3576	11561	$$\sqrt{4}$$
3576	11563	$$\frac{20}{4}$$
3576	11564	$$\frac{10}{3}$$
3581	11535	$$\frac{1}{x}$$
3586	11510	$${2}+\sqrt{5}$$
3586	11511	$${1}+\frac{\sqrt{5}}{2}$$
3586	11512	$${1}-\frac{\sqrt{5}}{3}$$
3586	11513	$${2}-\sqrt{5}$$
3586	11514	$$-{2}-\sqrt{5}$$
3600	11450	$$\frac{1}{4}$$
3600	11451	$$\frac{1}{3}$$
3600	11452	$$\frac{1}{2}$$
3600	11453	$$\frac{2}{3}$$
3600	11454	$$\frac{3}{4}$$
3603	11436	$${f}({x})^{2}$$
3607	11415	$${3}^{y}$$
3607	11416	$${3}^{y-1}$$
3607	11417	$${3}^{{2}{y}-{1}}$$
3607	11418	$${3}^{{2}{y}-{3}}$$
3607	11419	$${3}^{{3}{y}-{2}}$$
3615	11375	$${2}\times{10}^{13}$$
3615	11376	$${2}\times{10}^{17}$$
3615	11377	$${2}\times{10}^{20}$$
3615	11378	$${2}\times{10}^{26}$$
3615	11379	$${2}\times{10}^{36}$$
3631	11296	$${0.06}^{10}$$
3631	11297	$${1}-{0.06}^{10}$$
3631	11298	$${0.94}^{10}$$
3631	11299	$${1}-{0.94}^{10}$$
3633	11286	$$-\frac{1}{2}$$
3645	11237	$$-\frac{1}{2}$$
3645	11238	$$\frac{1}{2}$$
3651	11205	$$-\frac{1}{f(x)}$$
3651	11206	$$\frac{1}{f(x)}$$
3655	11185	$$\frac{21}{3}$$
3655	11186	$$\frac{22}{4}$$
3655	11188	$$\frac{31}{2}$$
3655	11189	$$\frac{32}{3}$$
3664	11155	$$\frac{1}{5}$$
3664	11156	$$\frac{1}{3}$$
3664	11157	$$\frac{2}{5}$$
3664	11158	$$\frac{1}{2}$$
3664	11159	$$\frac{2}{3}$$
3694	11025	$${m}+\frac{1}{2}({m}–{k})$$
3694	11026	$${m}+\frac{1}{2}(\frac{m-k}{k}){m}$$
3694	11027	$$\frac{{m}\sqrt{m}}{\sqrt{k}}$$
3694	11028	$$\frac{m^2}{2}{k}$$
3694	11029	$${k}{m}^{2}$$
3698	11012	$$\frac{r-s-t}{3}$$
3698	11013	$$\frac{r+s+t}{3}$$
3698	11014	$$\frac{s+t-r}{3}$$
3702	10991	$$\frac{y}{4}$$
3702	10994	$${4}{y}^{2}$$
3707	10973	$$\sqrt{3}$$
3707	10974	$$\sqrt{2}$$
3712	10945	$$\frac{1}{{3^2}{5^2}}$$
3712	10946	$$\frac{2}{{3^2}{5^2}}$$
3712	10947	$$\frac{7}{{3^3}{5^2}}$$
3712	10948	$$\frac{45}{{3^3}{5^3}}$$
3712	10949	$$\frac{75}{{3^4}{5^5}}$$
3738	10825	0 and $$\frac{1}{9}$$
3738	10826	$$\frac{1}{9}$$ and $$\frac{1}{3}$$
3738	10827	$$\frac{1}{3}$$ and $$\frac{8}{9}$$
3738	10828	$$\frac{8}{9}$$ and $$\frac{4}{3}$$
3738	10829	$$\frac{4}{3}$$ and 2
3744	10795	$${10}^{210}$$
3744	10796	$${10}^{180}$$
3744	10797	$${10}^{150}$$
3744	10798	$${10}^{90}$$
3744	10799	$${10}^{6}$$
3758	10726	$$f(x)=1-{x}^{2}$$
3758	10727	$${f}({x})={x}^{2}-({1}-{x})^{2}$$
3758	10728	$${f}({x})={x}^{2}-({1}-{x})^{2}$$
3758	10729	$${f}({x})=\frac{x}{1-x}$$
3759	10720	$${6}^{6}$$
3759	10721	$${6}^{7}$$
3759	10722	$${6}^{2}{7}^{3}$$
3759	10723	$${6}^{5}{7}^{6}$$
3759	10724	$${6}^{7}{7}^{6}$$
3766	10685	$${16}+{16}\sqrt{15}$$
3766	10686	$${31}-{8}\sqrt{15}$$
3766	10687	$${31}+{8}\sqrt{15}$$
3766	10688	$${32}-{4}\sqrt{15}$$
3766	10689	$${32}+{4}\sqrt{15}$$
3772	10657	$$({0.08})^{4}$$P
3772	10658	$$({1.08})^{4}$$P
3772	10659	$$({1.08}{P})^{4}$$
3776	10640	$$\frac{m(m+1)}{2}-\frac{({n}+{1})({n}+{2})}{2}$$
3776	10641	$$\frac{m(m+1)}{2}-\frac{(n-1)n}{2}$$
3776	10642	$$\frac{m(m+1)}{2}-\frac{(n+1)(n+2)}{2}$$
3776	10643	$$\frac{(m-1)m}{2}-\frac{(n+1)(n+2)}{2}$$
3776	10644	$$\frac{(m-1)m}{2}-\frac{n(n+1)}{2}$$
3779	10625	$$\frac{1}{6}$$
3779	10626	$$\frac{1}{3}$$
3781	10615	$${2}^{3}$$
3781	10616	$${3}^{2}$$
3781	10617	$${2}({3}^{10})$$
3781	10618	$${3}({2}^{10})$$
3781	10619	$${3}({10}^{2})$$
3783	10605	$$-\frac{1}{2}$$
3783	10606	$$-\frac{1}{3}$$
3783	10607	$$-\frac{1}{6}$$
3783	10608	$$\frac{1}{3}$$
3783	10609	$$\frac{1}{2}$$
3790	10572	$$\frac{x+3}{4}$$
3790	10573	$$\frac{x+3}{16}$$
3790	10574	$$\frac{x+15}{16}$$
3796	10540	$$\frac{1}{2}$$
3796	10541	$$\frac{1}{3}$$
3796	10542	$$\frac{1}{4}$$
3796	10543	$$\frac{1}{8}$$
3796	10544	$$\frac{1}{9}$$
3799	10525	$$${112}({1}-{0.2})^{2}$$
3799	10526	$$${112}({1}-{0.4})^{2}$$
3799	10527	$$${112}({1}-{0.4})$$
3799	10528	$$${112}[{1}-({0.2})^{2}]$$
3799	10529	$$${112}[{1}-({0.4})^{2}]$$
3800	10520	$${10}{x}^{2}+{y}^{2}$$
3800	10521	$${100}{x}^{2}+{y}^{2}$$
3800	10522	$${100}{x}^{2}+{10}{x}{y}+{y}^{2}$$
3800	10523	$${100}{x}^{2}+{20}{x}{y}+{y}^{2}$$
3800	10524	$${100}{y}^{2}+{20}{x}{y}+{x}^{2}$$
3803	10505	$$\frac{1}{2}$$
3803	10506	$$\frac{1}{3}$$
3803	10507	$$\frac{1}{4}$$
3803	10508	$$\frac{3}{7}$$
3803	10509	$$\frac{3}{8}$$
3814	10450	$$\frac{w}{1+1.08}$$
3814	10451	$$\frac{w}{1.08+1.16}$$
3814	10452	$$\frac{w}{1.16+1.24}$$
3814	10453	$$\frac{w}{1.08+(1.08)^2}$$
3814	10454	$$\frac{w}{({1.08})^2+({1.08})^3}$$
3816	10440	$$\frac{1}{2}$$
3816	10441	$$\frac{1}{\sqrt{2}}$$
3816	10442	$$\frac{1}{2(\sqrt{2})}$$
3816	10443	$$\frac{1}{\sqrt{3}}$$
3816	10444	$$\frac{1}{2(\sqrt{3})}$$
3819	10427	$${12}+\frac{24}{k}$$
3819	10428	$${12}-\frac{24}{k}$$
3823	10405	$$\frac{3}{7}$$
3823	10406	$$\frac{1}{3}$$
3823	10407	$$\frac{1}{4}$$
3823	10408	$$\frac{1}{5}$$
3823	10409	$$\frac{1}{7}$$
3830	10370	$$\frac{1}{7}$$
3830	10371	$$\frac{1}{4}$$
3830	10372	$$\frac{5}{14}$$
3830	10373	$$\frac{11}{28}$$
3830	10374	$$\frac{13}{28}$$
3843	10308	$$\frac{1}{8}$$
3843	10309	$$\frac{1}{16}$$
3853	10260	$${5}\frac{1}{2}$$ft
3853	10261	$${7}\frac{1}{2}$$ft
3853	10262	$${8}\frac{1}{2}$$ft
3853	10263	$${9}\frac{1}{2}$$ft
3866	10195	$$-\frac{1}{2}$$
3866	10196	$$-\frac{1}{3}$$
3866	10197	$$\frac{1}{3}$$
3866	10198	$$\frac{1}{2}$$
3866	10199	$$\frac{5}{2}$$
3869	10180	$$\frac{1}{4}$$
3869	10181	$$\frac{3}{8}$$
3869	10182	$$\frac{1}{2}$$
3869	10183	$$\frac{5}{8}$$
3869	10184	$$\frac{4}{3}$$
3870	10175	$$\frac{1}{70}$$
3870	10176	$$\frac{1}{35}$$
3870	10177	$$\frac{2}{35}$$
3870	10178	$$\frac{1}{12}$$
3870	10179	$$\frac{1}{7}$$
3871	10170	$$\frac{3}{10}$$
3871	10171	$$\frac{5}{2}$$
3871	10172	$$\frac{6}{7}$$
3871	10173	$$\frac{10}{7}$$
3871	10174	$$\frac{10}{3}$$
3874	10155	$$\frac{11}{4}$$
3874	10157	$$\frac{32}{7}$$
3876	10147	$$-\frac{1}{9}$$
3876	10148	$$\frac{1}{9}$$
3883	10110	$$\frac{1}{9}$$
3883	10111	$$\frac{1}{8}$$
3883	10112	$$\frac{1}{6}$$
3883	10113	$$\frac{1}{5}$$
3883	10114	$$\frac{1}{3}$$
3884	10105	$${x}^{2}-{0.50}$$
3884	10106	$${x}^{2}-{0.51}$$
3884	10107	$${x}^{3}-{0.502}$$
3884	10108	$${x}^{3}-{0.511}$$
3884	10109	$${x}^{4}-{0.512}$$
3925	9930	$${x}^{10}$$
3925	9931	$${x}^{12}$$
3925	9932	$${x}^{20}$$
3925	9933	$${x}^{24}$$
3925	9934	$${x}^{48}$$
3955	9790	$${f}({x})={x}^{2}$$
3955	9791	$${f}({x})={x}+{1}$$
3955	9792	f$${f}({x})={x}+{1}$$
3955	9793	$${f}({x})=\frac{2}{x}$$
3955	9794	$${f}({x})=-{3}{x}$$
3960	9765	$$\frac{1}{5}$$
3960	9766	$$\frac{2}{5}$$
3960	9767	$$\frac{1}{2}$$
3960	9768	$$\frac{3}{5}$$
3960	9769	$$\frac{2}{3}$$
4042	9401	$$-\frac{11}{2}$$
4042	9402	$$\frac{11}{2}$$
4044	9390	$${30}{y}^{2}={3}{x}^{2}-{12}$$
4044	9391	$${20}{y}^{2}=({2}{x}-{4})({x}+{2})$$
4044	9392	$${10}{y}^{2}+{4}={x}^{2}$$
4044	9393	$${5}{y}^{2}={x}^{2}-{2}$$
4044	9394	$${y}^{2}=\frac{x^2-4}{10}$$
4050	9360	$$\frac{1}{3}<{M}<\frac{1}{2}$$
4050	9361	$$\frac{1}{5}<{M}<\frac{1}{3}$$
4050	9362	$$\frac{1}{7}<{M}<\frac{1}{5}$$
4050	9363	$$\frac{1}{9}<{M}<\frac{1}{7}$$
4050	9364	$$\frac{1}{12}<{M}<\frac{1}{9}$$
4051	9355	$$\frac{x}{x+y}$$
4051	9356	$$\frac{y}{x+y}$$
4051	9357	$$\frac{xy}{x+y}$$
4051	9358	$$\frac{xy}{x-y}$$
4051	9359	$$\frac{xy}{y-x}$$
4053	9350	$$\frac{Q-1}{2}+{120}$$
4053	9351	$$\frac{Q}{2}+{119}$$
4053	9352	$$\frac{Q}{2}+{120}$$
4053	9353	$$\frac{Q+119}{2}$$
4053	9354	$$\frac{Q+120}{2}$$
4054	9347	$${35}\sqrt{3}$$
4054	9348	$$7+{35}\sqrt{3}$$
4054	9349	$$7+{42}\sqrt{3}$$
4070	9265	$$(-{10})^{20}$$
4070	9266	$$(-{10})^{10}$$
4070	9268	$$-({10})^{19}$$
4070	9269	$$-({10})^{20}$$
4071	9260	$${10}^{-8}$$
4071	9261	$${3}({10}^{-8})$$
4071	9262	$${3}({10}^{-4})$$
4071	9263	$${2}({10}^{-4})$$
4071	9264	$${10}^{-4}$$
4124	9025	$$\frac{9}{50}$$
4124	9026	$$\frac{7}{25}$$
4124	9027	$$\frac{7}{20}$$
4124	9028	$$\frac{21}{50}$$
4124	9029	$$\frac{27}{50}$$
4127	9010	$$\frac{1}{720}$$
4127	9011	$$\frac{1}{80}$$
4127	9012	$$\frac{1}{10}$$
4127	9013	$$\frac{1}{9}$$
4127	9014	$$\frac{1}{5}$$
4128	9005	$$\frac{1}{4}$$
4128	9006	$$\frac{1}{2}$$
4128	9007	$$\frac{2}{3}$$
4135	8970	$${10}^{9}$$
4135	8971	$${10}^{8}$$
4135	8972	$${10}^{7}$$
4135	8973	$${10}^{6}$$
4135	8974	$${10}^{5}$$
4137	8960	$$\frac{1}{9}$$
4137	8961	$$\frac{1}{4}$$
4137	8962	$$\frac{4}{9}$$
4137	8963	$$\frac{2}{3}$$
4137	8964	$$\frac{9}{2}$$
4141	8945	$$(\sqrt{3}):{1}$$
4141	8947	$$(\frac{1}{2}):{1}$$
4141	8948	$$(\sqrt{2}):{1}$$
4143	8935	$$\frac{16}{9\pi}$$
4143	8936	$$\frac{4}{\sqrt{\pi}}$$
4143	8937	$$\frac{12}{\sqrt{\pi}}$$
4143	8938	$$\sqrt\frac{2}{\pi}$$
4143	8939	$${4}\sqrt\frac{2}{\pi}$$
4145	8925	$$\frac{xt}{y}$$
4145	8926	$$\frac{x+t}{x}{y}$$
4145	8927	$$\frac{xyt}{x+y}$$
4145	8928	$$\frac{x+y+t}{x}{y}$$
4145	8929	$$\frac{y+t}{x}-\frac{t}{y}$$
4222	8560	$$\frac{1}{2}$$
4222	8561	$$\frac{3}{4}$$
4222	8563	$$\frac{11}{4}$$
4222	8564	$$\frac{11}{2}$$
4561	7759	$${49}{a}^{2}+{4}={9}{b}^{2}$$
4561	7760	$${98}{a}^{2}={18}{b}^{2}-{8}$$
4561	7761	$${49}{a}^{2}=({3}{b}-{2})({3}{b}+{2})$$
4561	7762	$${a}^{2}=\frac{9b^2-4}{7^2}$$
4853	7714	$${49}{a}^{2}+{4}={9}{b}^{2}$$
4853	7715	$${98}{a}^{2}={18}{b}^{2}-{8}$$
4853	7716	$${49}{a}^{2}=({3}{b}-{2})({3}{b}+{2})$$
4853	7717	$${a}^{2}=\frac{9b^2-4}{7^2}$$
4877	7709	$$\frac{7}{12}$$
4877	7710	$$\frac{8}{41}$$
4877	7711	$$\frac{91}{348}$$
4877	7712	$$\frac{1}{8}$$
4877	7713	$$\frac{41}{91}$$
5023	7659	$$-\frac{1}{343}$$
5023	7660	$$-\frac{1}{7}$$
5023	7661	$$\frac{1}{7}$$
5023	7662	$$\frac{27}{343}$$
5023	7663	$$\frac{216}{343}$$
5027	7639	$$\frac{30}{11}$$
5027	7640	$$\frac{42}{11}$$
5027	7641	$$\frac{60}{11}$$
5027	7642	$$\frac{150}{11}$$
5032	7614	$$\frac{N-S}{Nq}$$
5032	7615	$$\frac{1-S}{Nq}$$
5032	7616	$$\frac{N-S}{q}$$
5032	7617	$$\frac{N}{S}-{q}$$
5032	7618	$${1}-{N}\frac{q}{S}$$
5033	7609	$${x}^{2}+{y}^{3}<{0}$$
5033	7610	$${x}^{5}<{y}^{2}$$
5033	7611	$${x}^{2}+{y}^{7}>{0}$$
5033	7612	$${y}^{2}+{x}>{0}$$
5033	7613	$$\frac{y^5}{x}$$
5035	7599	$$\sqrt{2}$$
5035	7600	$$(\frac{1}{3})\sqrt{21}$$
5035	7601	$$\sqrt{3}$$
5035	7602	$$\sqrt{15}$$
5035	7603	$$\sqrt{3}$$
5040	7574	$$\frac{1}{32}$$
5040	7575	$$\frac{1}{4}$$
5040	7576	$$\frac{1}{2}$$
5040	7577	$$\frac{3}{4}$$
5040	7578	$$\frac{8}{9}$$
5042	7569	$$\sqrt{3}$$
5042	7570	$${2}\sqrt{3}$$
5042	7572	$${4}\sqrt{3}$$
5043	7564	$$\frac{2}{7}$$
5043	7565	$$\frac{3}{4}$$
5043	7566	$$\frac{12}{5}$$
5043	7567	$${5}$$
5043	7568	$${12}$$
5047	7544	$$\frac{2}{5}$$
5047	7545	$$\frac{2}{5}$$
5049	7536	$$\frac{3y}{2}$$
5049	7537	$$\frac{y}{2}$$
5049	7538	$$\frac{y}{12}$$
5050	7529	$$\frac{11}{10z}$$
5050	7530	$$\frac{2}{5z}$$
5050	7531	$$\frac{3}{10z}$$
5050	7532	$$\frac{11z}{10}$$
5050	7533	$$\frac{2z}{5}$$
5051	7524	$$${2}\frac{1}{7}$$
5051	7525	$$${3}\frac{4}{7}$$
5051	7526	$$${5}\frac{1}{4}$$
5051	7528	$$${6}\frac{3}{8}$$
5057	7499	$${4}\sqrt{3}$$
5057	7500	$${2}\sqrt{15}$$
5057	7501	$${2}+{2}\sqrt{5}$$
5057	7502	$${2}\sqrt{6}$$
5057	7503	$${2}\cdot({2}+\sqrt{15})$$cm
5058	7494	$$\frac{e+ne}{27}$$
5058	7495	$$\frac{2e+2ne}{3}$$
5058	7496	$$\frac{2e+ne}{300}$$
5058	7497	$$\frac{2n+ne}{3}$$
5058	7498	$$\frac{ne}{9}$$
5061	7479	$$\frac{1}{2}$$
5061	7480	$$\frac{1}{7}$$
5061	7481	$$\frac{1}{10}$$
5061	7482	$$\frac{5}{24}$$
5061	7483	$$\frac{7}{24}$$
5066	7464	$$\frac{30}{98}$$
5066	7465	$$\frac{3}{22}$$
5066	7466	$$\frac{30}{49}$$
5066	7467	$$\frac{3}{9}$$
5066	7468	$$\frac{9}{10}$$
5071	7439	$$\frac{5}{7}(\sqrt{7}-{1})$$
5071	7440	$$\frac{10}{7}(\sqrt{7}-{1})$$
5071	7441	$$(\frac{10}{7})(\sqrt{7})$$
5071	7442	$$\frac{10}{7}({2}\sqrt{7}-{1})$$
5071	7443	$$\frac{20}{7}({2}\sqrt{7}-{1})$$
5073	7429	$$\frac{3}{150}$$
5073	7430	$$\frac{1}{20}$$
5073	7431	$$\frac{13}{100}$$
5073	7432	$$\frac{27}{50}$$
5073	7433	$$\frac{9}{100}$$
5075	7419	$$\frac{53}{180}$$
5075	7420	$$\frac{4}{9}$$
5075	7421	$$\frac{13}{18}$$
5075	7422	$$\frac{15}{23}$$
5075	7423	$$\frac{5}{18}$$
5076	7414	$${1}\frac{1}{5}$$
5076	7415	$${2}\frac{1}{7}$$
5076	7418	$${7}\frac{1}{2}$$
5078	7405	$$\frac{7000l+fm}{1000}$$
5078	7407	$$\frac{7l+1000fm}{1000}$$
5080	7394	$${3}\sqrt{2}$$
5080	7395	$${3}\sqrt{3}$$
5080	7396	$${3}(\sqrt{2}+{1})$$
5080	7397	$${3}(\sqrt{2}+{2})$$
5080	7398	$${4}(\sqrt{2}+{1})$$
5081	7389	$$\frac{4}{5}$$
5081	7390	$$\frac{5}{3}$$
5081	7391	$$\frac{7}{3}$$
5083	7379	$${6}\cdot\frac{3}{4}$$
5083	7380	$${8}\cdot\frac{1}{4}$$
5083	7381	$${11}\cdot\frac{1}{4}$$
5083	7382	$${21}\cdot\frac{3}{4}$$
5083	7383	$${24}\cdot\frac{3}{4}$$
5084	7374	$$\frac{1}{35}$$
5084	7375	$$\frac{2}{35}$$
5084	7376	$$\frac{8}{35}$$
5084	7377	$$\frac{2}{7}$$
5084	7378	$$\frac{4}{7}$$
5196	6834	$$\frac{2}{9}$$
5196	6835	$$\frac{1}{3}$$
5196	6837	$$\frac{9}{2}$$
5199	6819	$$-\frac{16}{3}$$
5199	6820	$$-\frac{11}{2}$$
5200	6814	$$\frac{1}{6}$$
5200	6815	$$\frac{3}{8}$$
5200	6816	$$\frac{3}{2}$$
5200	6817	$$\frac{8}{3}$$
5204	6794	$${0.01}$$
5204	6795	$${0.1}$$
5204	6796	$${10}$$
5204	6797	$${100}$$
5204	6798	$${1000}$$
5205	6789	$${25}\sqrt{3}$$
5205	6790	$${15}\sqrt{2}$$
5205	6791	$${10}+{5}\sqrt{2}$$
5205	6792	$${10}\sqrt{3}$$
5205	6793	$${5}\sqrt{6}$$
5218	6724	$$\frac{3}{19}$$
5218	6725	$$\frac{2}{7}$$
5218	6726	$$\frac{3}{16}$$
5218	6727	$$\frac{1}{6}$$
5218	6728	$$\frac{1}{7}$$
5224	6696	$$({60}\frac{x}{100})\%$$
5224	6697	$$({40}\frac{x}{100})\%$$
5224	6698	$$({20}\frac{x}{100})\%$$
5225	6689	$$\frac{xp}{s}$$
5225	6690	$$\frac{1000xp}{s}$$
5225	6691	$$\frac{sx}{3.6p}$$
5225	6692	$$\frac{60xp}{s}$$
5225	6693	$${x}{p}({3.6}){10}^{5}$$
5267	6480	$$-\sqrt[4]{244}$$
5267	6481	$$-\sqrt[3]{244}$$
5270	6464	$${R}{a}{n}\ge{P}\ge{R}{a}{n}\ge{Q}$$
5270	6466	$${R}{a}{n}\ge{P}\neq{R}{a}{n}\ge{Q}$$
5270	6467	$${M}{e}{d}{i}{a}{n}{P}\neq{M}{e}{d}{i}{a}{n}{Q}$$
20736	4535	$$\frac{11}{8}$$
20736	4536	$$\frac{7}{8}$$
20736	4537	$$\frac{9}{64}$$
20736	4538	$$\frac{5}{64}$$
20736	4539	$$\frac{3}{64}$$
20737	4530	$$[\frac{x}{x+y}][\frac{x}{x+y}]$$
20737	4531	$$[\frac{x}{x+y}][\frac{x-1}{x+y-1}]$$
20737	4532	$$\frac{xy}{x+y}$$
20737	4533	$$[\frac{x-1}{x+y}][\frac{y-1}{x+y}]$$
20737	4534	$$[\frac{x}{x+y}][\frac{y}{x+y-1}]$$
20742	4507	$${5}\frac{x}{3}$$
20742	4508	$${3}\frac{x}{2}$$
20742	4509	$${3}\frac{x}{5}$$
20744	4495	$$\frac{23}{30}$$
20744	4496	$$\frac{11}{15}$$
20744	4497	$$\frac{7}{10}$$
20744	4498	$$\frac{1}{6}$$
20744	4499	$$\frac{2}{15}$$
20746	4485	$$({1}-\frac{1}{100})({1}+\frac{1}{25})$$
20746	4486	$$({1}-\frac{1}{100})({1}-\frac{1}{26})$$
20746	4487	$$({1}-\frac{1}{5})({1}+\frac{1}{10})$$
20746	4488	$$({1}+\frac{1}{5})({1}-\frac{1}{10})$$
20890	4424	$${12}\sqrt{2}$$
20905	4422	$$\frac{4}{19}$$
21990	27495	$$\frac{2}{15}$$
21990	27496	$$\frac{2}{5}$$
21990	27497	$$\frac{9}{20}$$
21990	27498	$$\frac{5}{6}$$
21997	27530	$$\frac{4}{3}$$
21997	27531	$$\frac{17}{5}$$
21997	27532	$$\frac{18}{5}$$
22013	27610	$$\sqrt{2}:{2}$$
22013	27611	$${2}\sqrt{2}:{2}:{3}$$
22013	27613	$$\sqrt{2}:{1}$$
22043	27759	$$\frac{2}{3}$$
22043	27760	$$\frac{3}{4}$$
22043	27761	$$\frac{4}{5}$$
22043	27762	$$\frac{4}{3}$$
22043	27763	$$\frac{3}{2}$$
22049	27790	$$s - \frac{n}{r}$$
22049	27792	$$\frac{s}{n}$$ - r
22049	27793	$$\frac{s}{r}$$ - n
22052	27804	$$\frac{x}{5}$$
22052	27805	$$1 - \frac{x}{35}$$
22054	27814	$$9\%$$ of $$\frac{x}{100}$$
22054	27815	$$14\%$$ of $$\frac{x}{100}$$
22054	27816	$$75\%$$ of $$\frac{x}{10}$$
22055	27819	$$\frac{4}{7}$$
22055	27820	$$\frac{5}{9}$$
22055	27821	$$\frac{6}{11}$$
22055	27822	$$\frac{7}{13}$$
22055	27823	$$\frac{9}{16}$$
22056	27826	$${p}^{2}$$ + 1
22056	27827	2$${p}^{2}$$ - 1
22056	27828	$${p}^{2}$$ + p - 1
22057	27830	$$\frac{32}{3}$$
22057	27833	$$\frac{9}{8}$$
22059	27841	$$\sqrt[3]{16}$$
22059	27842	3$$\sqrt[3]{8}$$
22059	27843	2$$\sqrt[3]{36}$$
22063	27859	$$\frac{1}{5}$$
22063	27860	$$\frac{2}{5}$$
22063	27861	$$\frac{3}{5}$$
22063	27862	$$\frac{4}{5}$$
22063	27863	$$\frac{12}{25}$$
22068	27884	$${x}^{2}$$ + 2x - 1 = 0
22068	27885	$${x}^{2}$$ - 2x + 1 = 0
22068	27886	$${x}^{2}$$ + 2x + 1 = 0
22068	27887	$${x}^{2}$$ - 2x - 1 = 0
22068	27888	$${x}^{2}$$ - x - 1 = 0
22069	27890	$${t}^{2}$$
22069	27891	$${t}^{3}$$
22069	27892	$${t}^{4}$$
22069	27893	$${t}^{8}$$
22119	28141	$${10}^{2}$$
22119	28142	$${10}^{3}$$
22119	28143	$${10}^{4}$$
22122	28154	$$\frac{\sqrt{2}}{2}$$
22122	28155	$$\frac{\sqrt{3}}{2}$$
22122	28157	$$\sqrt{2}$$
22122	28158	$$\sqrt{3}$$
22131	28199	a + b - $$\sqrt{2ab}$$
22131	28200	a - b +$$\sqrt{2ab}$$
22131	28201	$$\sqrt{({a}-{b})^{2}-{2}{a}{b}}$$
22131	28202	$$\sqrt{a+b}\sqrt{a-b}$$
22131	28203	$$(\sqrt{a}+\sqrt{b})(\sqrt{a}-\sqrt{b})$$
22137	28229	$$\frac{1}{0.2}$$
22137	28230	$$({0.2})^{2}$$
22137	28232	$$\frac{0.2}{2}$$
22144	28264	$${2}({26}^{5})$$
		
22144	28265	$${26}({26}^{4})$$
22144	28266	$${27}({26}^{4})$$
22144	28267	$${26}({26}^{5})$$
22144	28268	$${27}({26}^{5})$$
		
22147	28283	$$\frac{\mid{x}\mid}{x}$$
22154	28314	$${x}^{4} \geq 1$$
		
22154	28315	$${x}^{3}\leq 27$$
22154	28317	$${x}^{2} \geq 16$$
		
22156	28324	$${p}^{2}$$
22156	28325	$${q}^{2}$$
		
22156	28327	$${p}^{2}{q}^{2}$$
		
22156	28328	$${p}^{3}{q}$$
		
22158	28336	$$\sqrt{2}$$
22158	28337	$$\sqrt{3}$$
22158	28338	$$\frac{\sqrt{2}}{2}$$
22164	28366	10$$\sqrt{2}$$
22181	28449	$${x}^{9}+{x}^{9}$$
22181	28450	$$({x}^{2})^{9}$$
		
22181	28451	$$({x}^{9})^{9}$$
22181	28452	$$({x}^{3})^{15}$$
22203	28561	$${x}^{2}$$
		
22203	28562	$$\sqrt{x}$$
22203	28563	$${x}^{3}$$
22212	28604	$${5}^{6}$$
22212	28605	$${13}^{5}$$
		
22212	28606	$${2}^{6}+{3}^{6}$$
22212	28607	$${2}^{7}+{3}^{8}$$
22212	28608	$${4}^{5}+{9}^{5}$$
22230	28694	$${2}^{8}$$
22230	28695	$${2}^{7}$$
22230	28696	$${2}^{6}$$
22230	28697	$${2}^{5}$$
22230	28698	$${2}^{4}$$
22236	28726	4$$\sqrt{2}$$
22236	28727	8$$\sqrt{2}$$
